BubbleSort, QuickSort, MergeSort
28.928, 0.095, 0.021
29.095, 0.096, 0.019
28.934, 0.095, 0.02
28.981, 0.097, 0.019
28.983, 0.096, 0.019
29.041, 0.098, 0.019
29.185, 0.102, 0.019
30.699, 0.096, 0.02
29.066, 0.095, 0.02
28.979, 0.095, 0.02
28.943, 0.095, 0.019
28.896, 0.096, 0.02
28.903, 0.096, 0.019
28.919, 0.095, 0.02
28.945, 0.095, 0.02
28.958, 0.095, 0.02
29.614, 0.098, 0.019
29.536, 0.097, 0.019
29.046, 0.096, 0.02
29.675, 0.095, 0.019
28.936, 0.095, 0.02
28.926, 0.095, 0.02
29.45, 0.095, 0.02
29.055, 0.097, 0.021
29.063, 0.096, 0.02
28.949, 0.097, 0.019
28.97, 0.095, 0.02
28.963, 0.095, 0.02
28.972, 0.096, 0.02
28.957, 0.095, 0.019
28.951, 0.095, 0.02
28.931, 0.099, 0.019
28.964, 0.095, 0.019
28.914, 0.095, 0.019
29.005, 0.097, 0.018
28.969, 0.096, 0.019
29.026, 0.095, 0.02
29.146, 0.095, 0.019
28.967, 0.095, 0.02
28.965, 0.096, 0.02
29.011, 0.095, 0.02
29.007, 0.096, 0.02
29.035, 0.096, 0.019
28.943, 0.095, 0.019
28.981, 0.095, 0.019
28.925, 0.095, 0.019
28.878, 0.099, 0.018
28.938, 0.096, 0.021
28.922, 0.096, 0.019
29, 0.098, 0.02
28.931, 0.096, 0.019
28.959, 0.096, 0.02
28.964, 0.097, 0.018
28.962, 0.099, 0.019
28.888, 0.096, 0.019
28.902, 0.096, 0.019
28.968, 0.097, 0.019
28.93, 0.095, 0.025
28.937, 0.095, 0.019
28.971, 0.096, 0.019
28.956, 0.095, 0.02
28.991, 0.096, 0.019
28.924, 0.096, 0.019
28.911, 0.096, 0.019
28.895, 0.096, 0.018
28.998, 0.095, 0.019
28.953, 0.095, 0.019
28.948, 0.095, 0.019
29.162, 0.096, 0.019
28.962, 0.097, 0.021
28.964, 0.096, 0.019
28.997, 0.096, 0.018
28.959, 0.095, 0.02
28.988, 0.097, 0.02
29.005, 0.095, 0.019
28.971, 0.095, 0.019
28.969, 0.095, 0.02
28.91, 0.096, 0.019
28.902, 0.095, 0.02
28.895, 0.097, 0.019
28.995, 0.095, 0.019
29.004, 0.096, 0.019
28.944, 0.096, 0.019
29.003, 0.098, 0.02
29.01, 0.095, 0.018
28.96, 0.094, 0.019
28.979, 0.095, 0.019
28.93, 0.096, 0.019
28.953, 0.096, 0.019
28.929, 0.097, 0.019
28.952, 0.095, 0.019
28.985, 0.096, 0.019
29, 0.095, 0.019
28.992, 0.094, 0.02
28.968, 0.099, 0.02
28.942, 0.096, 0.019
29.005, 0.096, 0.02
28.962, 0.095, 0.019
28.993, 0.101, 0.019
29.235, 0.096, 0.019
28.96, 0.096, 0.018
28.989, 0.096, 0.019
28.974, 0.096, 0.019
29.021, 0.097, 0.019
