BubbleSort, QuickSort, MergeSort
23.317, 0.044, 0.019
23.758, 0.05, 0.02
23.467, 0.042, 0.019
23.53, 0.044, 0.021
22.978, 0.047, 0.016
22.755, 0.047, 0.016
22.724, 0.047, 0.016
22.727, 0.047, 0.016
22.824, 0.032, 0.031
23.315, 0.044, 0.017
22.772, 0.043, 0.017
22.942, 0.045, 0.017
23.224, 0.046, 0.017
23.366, 0.047, 0.017
23.272, 0.046, 0.018
23.285, 0.043, 0.017
22.762, 0.043, 0.018
22.743, 0.043, 0.017
22.759, 0.047, 0.017
22.761, 0.043, 0.017
22.791, 0.044, 0.017
22.774, 0.048, 0.018
22.51, 0.042, 0.017
22.337, 0.043, 0.016
22.319, 0.046, 0.017
22.355, 0.042, 0.017
22.317, 0.042, 0.017
22.315, 0.042, 0.017
22.331, 0.048, 0.017
22.319, 0.043, 0.017
22.338, 0.043, 0.016
22.321, 0.043, 0.016
22.475, 0.047, 0.019
22.714, 0.044, 0.017
22.766, 0.045, 0.017
22.803, 0.044, 0.016
22.756, 0.043, 0.017
22.719, 0.043, 0.017
22.714, 0.044, 0.017
22.733, 0.043, 0.018
22.741, 0.043, 0.017
22.749, 0.043, 0.017
22.744, 0.044, 0.017
22.776, 0.044, 0.017
22.732, 0.045, 0.017
22.757, 0.044, 0.017
22.737, 0.044, 0.017
22.73, 0.044, 0.017
22.732, 0.045, 0.017
22.75, 0.046, 0.017
22.743, 0.044, 0.017
22.764, 0.043, 0.017
22.743, 0.043, 0.017
22.758, 0.044, 0.017
22.752, 0.043, 0.018
22.748, 0.043, 0.017
22.74, 0.043, 0.017
22.755, 0.044, 0.017
22.735, 0.044, 0.017
22.792, 0.044, 0.017
22.919, 0.044, 0.016
22.839, 0.045, 0.017
23, 0.043, 0.018
22.738, 0.043, 0.018
22.843, 0.047, 0.019
22.744, 0.047, 0.017
22.75, 0.044, 0.017
22.723, 0.044, 0.017
22.737, 0.046, 0.018
22.742, 0.043, 0.017
22.746, 0.043, 0.017
22.727, 0.044, 0.017
22.748, 0.044, 0.017
22.993, 0.044, 0.017
23.7, 0.041, 0.024
24.153, 0.046, 0.018
23.634, 0.047, 0.018
24.035, 0.044, 0.018
23.492, 0.044, 0.018
24.013, 0.045, 0.017
