BubbleSort, QuickSort, MergeSort
0.57, 0.002, 0.004
0.537, 0.002, 0.004
0.52, 0.002, 0.004
0.536, 0.003, 0.003
0.49, 0.003, 0.003
0.502, 0.004, 0.003
0.491, 0.002, 0.003
0.491, 0.003, 0.003
0.493, 0.003, 0.003
0.533, 0.002, 0.003
0.5, 0.003, 0.003
0.495, 0.003, 0.003
0.523, 0.002, 0.004
0.526, 0.002, 0.004
0.533, 0.003, 0.003
0.527, 0.002, 0.003
0.538, 0.003, 0.003
0.596, 0.002, 0.004
0.595, 0.003, 0.003
0.57, 0.003, 0.003
0.558, 0.003, 0.003
1.448, 0.003, 0.003
0.637, 0.003, 0.004
0.598, 0.003, 0.004
0.649, 0.004, 0.004
0.637, 0.003, 0.004
0.594, 0.003, 0.003
0.583, 0.004, 0.004
0.594, 0.003, 0.003
0.573, 0.003, 0.004
0.6, 0.004, 0.004
0.584, 0.002, 0.003
0.592, 0.003, 0.003
0.564, 0.002, 0.003
0.572, 0.004, 0.005
0.55, 0.004, 0.004
0.674, 0.004, 0.003
0.539, 0.003, 0.003
0.527, 0.002, 0.004
0.529, 0.003, 0.003
0.496, 0.002, 0.004
0.522, 0.002, 0.004
0.504, 0.003, 0.003
0.545, 0.002, 0.004
0.547, 0.003, 0.003
0.535, 0.003, 0.003
0.545, 0.002, 0.004
0.549, 0.003, 0.003
0.525, 0.002, 0.004
0.53, 0.003, 0.006
0.535, 0.002, 0.003
0.55, 0.004, 0.005
0.56, 0.003, 0.003
0.568, 0.002, 0.004
0.594, 0.002, 0.005
0.533, 0.002, 0.004
0.559, 0.003, 0.003
0.56, 0.002, 0.003
0.524, 0.002, 0.003
0.502, 0.002, 0.003
0.485, 0.002, 0.003
0.507, 0.002, 0.003
0.48, 0.003, 0.003
0.488, 0.002, 0.004
0.483, 0.002, 0.003
0.494, 0.002, 0.003
0.525, 0.003, 0.003
0.495, 0.002, 0.003
0.495, 0.002, 0.003
0.477, 0.002, 0.004
0.513, 0.002, 0.003
0.509, 0.002, 0.003
0.479, 0.002, 0.003
0.479, 0.002, 0.003
0.508, 0.002, 0.003
0.486, 0.003, 0.003
0.49, 0.002, 0.003
0.475, 0.002, 0.003
0.485, 0.002, 0.003
0.489, 0.003, 0.003
0.501, 0.002, 0.003
0.5, 0.003, 0.003
0.511, 0.002, 0.003
0.471, 0.003, 0.004
0.472, 0.002, 0.003
0.478, 0.003, 0.003
0.495, 0.002, 0.003
0.468, 0.003, 0.003
0.466, 0.002, 0.003
0.465, 0.003, 0.005
0.467, 0.003, 0.003
0.486, 0.003, 0.003
0.491, 0.002, 0.004
0.527, 0.002, 0.003
0.489, 0.002, 0.004
0.487, 0.003, 0.003
0.475, 0.003, 0.003
0.478, 0.002, 0.003
0.485, 0.002, 0.003
0.503, 0.002, 0.004
0.489, 0.002, 0.003
0.475, 0.002, 0.003
0.497, 0.002, 0.004
0.475, 0.002, 0.003
0.503, 0.002, 0.003
0.497, 0.003, 0.003
0.488, 0.002, 0.003
0.493, 0.002, 0.003
0.489, 0.003, 0.003
0.486, 0.003, 0.003
0.48, 0.003, 0.003
0.477, 0.003, 0.002
0.505, 0.002, 0.004
0.495, 0.002, 0.003
0.506, 0.003, 0.003
0.482, 0.002, 0.003
0.485, 0.002, 0.003
0.486, 0.002, 0.003
0.474, 0.002, 0.003
0.5, 0.002, 0.003
0.5, 0.003, 0.003
0.471, 0.002, 0.003
0.487, 0.004, 0.005
0.478, 0.002, 0.003
0.482, 0.002, 0.002
0.477, 0.002, 0.003
0.488, 0.002, 0.003
0.484, 0.002, 0.003
0.494, 0.002, 0.003
0.512, 0.002, 0.003
0.526, 0.002, 0.003
0.492, 0.003, 0.003
0.485, 0.003, 0.003
0.465, 0.003, 0.003
0.483, 0.002, 0.003
0.493, 0.002, 0.003
0.475, 0.003, 0.003
0.497, 0.003, 0.003
0.495, 0.003, 0.003
0.469, 0.002, 0.003
0.496, 0.003, 0.004
0.462, 0.003, 0.003
0.501, 0.002, 0.003
0.482, 0.002, 0.003
0.468, 0.002, 0.003
0.468, 0.003, 0.003
0.51, 0.003, 0.003
0.476, 0.002, 0.003
0.491, 0.002, 0.003
0.502, 0.003, 0.003
0.486, 0.003, 0.003
0.534, 0.002, 0.003
0.494, 0.003, 0.003
0.492, 0.003, 0.003
0.467, 0.002, 0.003
0.462, 0.002, 0.002
0.462, 0.002, 0.003
0.476, 0.002, 0.003
0.472, 0.002, 0.003
0.478, 0.003, 0.003
0.479, 0.003, 0.003
0.492, 0.002, 0.003
0.473, 0.002, 0.003
0.504, 0.002, 0.003
0.502, 0.003, 0.003
0.493, 0.003, 0.003
0.49, 0.002, 0.003
0.487, 0.003, 0.003
0.49, 0.002, 0.003
0.507, 0.003, 0.003
0.506, 0.003, 0.002
0.514, 0.002, 0.003
0.465, 0.002, 0.003
